PuntoYComa;ident;const;int;double;bool;string;[];void;(;);,;class;{;};:;interface;.;if;else;while;for;return;break;Console;Writeline;=;==;&&;<;<=;+;*;%;-;!;this;New;intConstant;doubleConstant;boolConstant;stringConstant;null;$;Program';Program;Decl';Decl;VariableDecl;Variable;ConstDecl;ConstType;Type;Type';FunctionDecl;FunctionDecl';Formals;Formals';ClassDecl;ClassDecl';ClassDecl1';ClassDecl2';Field;InterfaceDecl;InterfaceDecl';Prototype;Prototype';StmtBlock;StmtBlock';StmtBlock1';StmtBlock2';StmtBlock3';Stmt;Stmt';CallStmt;CallStmt';Actuals;Actuals';IfStmt;ElseStmt;WhileStmt;ForStmt;ReturnStmt;BreakStmt;PrintStmt;PrintStmt';Expr;ExprEq;ExprEq';ExprAn;ExprAn';ExprEquals;ExprEquals';ExprRes;ExprRes'
;d15;d11;d16;d17;d18;d19;;d10;;;;d12;;;;d13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;2;3;8;5;14;9;;4;;;;6;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;acc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;d15;d11;d16;d17;d18;d19;;d10;;;;d12;;;;d13;;;;;;;;;;;;;;;;;;;;;;;;;;;r3;;;20;21;3;8;5;14;9;;4;;;;6;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;r4;r4;r4;r4;r4;r4;;r4;;;;r4;;;;r4;;;;;;;;;;;;;;;;;;;;;;;;;;;r4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;r5;r5;r5;r5;r5;r5;;r5;;;;r5;;;;r5;;;;;;;;;;;;;;;;;;;;;;;;;;;r5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;r6;r6;r6;r6;r6;r6;;r6;;;;r6;;;;r6;;;;;;;;;;;;;;;;;;;;;;;;;;;r6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;r7;r7;r7;r7;r7;r7;;r7;;;;r7;;;;r7;;;;;;;;;;;;;;;;;;;;;;;;;;;r7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;r8;r8;r8;r8;r8;r8;;r8;;;;r8;;;;r8;;;;;;;;;;;;;;;;;;;;;;;;;;;r8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;d24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
